"","England","Germany","Netherlands","USA"
"11111",0.965,0.977,0.947,0.962
"11112",0.869,0.91,0.805,0.865
"11113",0.702,0.71,0.567,0.676
"11121",0.878,0.864,0.818,0.864
"11122",0.781,0.798,0.702,0.767
"11123",0.614,0.597,0.465,0.578
"11131",0.697,0.542,0.576,0.642
"11132",0.601,0.475,0.459,0.545
"11133",0.433,0.275,0.222,0.356
"11211",0.896,0.923,0.84,0.856
"11212",0.8,0.857,0.724,0.758
"11213",0.632,0.656,0.486,0.569
"11221",0.808,0.811,0.738,0.758
"11222",0.712,0.744,0.621,0.66
"11223",0.545,0.544,0.384,0.471
"11231",0.627,0.488,0.495,0.536
"11232",0.531,0.422,0.379,0.438
"11233",0.364,0.221,0.141,0.249
"11311",0.801,0.808,0.739,0.723
"11312",0.705,0.741,0.623,0.626
"11313",0.537,0.541,0.386,0.437
"11321",0.713,0.695,0.637,0.625
"11322",0.617,0.629,0.521,0.528
"11323",0.45,0.429,0.283,0.339
"11331",0.532,0.373,0.394,0.403
"11332",0.436,0.307,0.278,0.306
"11333",0.269,0.106,0.04,0.117
"12111",0.892,0.912,0.86,0.854
"12112",0.796,0.846,0.744,0.757
"12113",0.629,0.645,0.506,0.568
"12121",0.805,0.8,0.758,0.756
"12122",0.708,0.733,0.641,0.659
"12123",0.541,0.533,0.404,0.47
"12131",0.624,0.477,0.515,0.534
"12132",0.528,0.411,0.399,0.436
"12133",0.36,0.21,0.161,0.247
"12211",0.823,0.859,0.779,0.748
"12212",0.727,0.792,0.663,0.65
"12213",0.56,0.592,0.426,0.461
"12221",0.735,0.746,0.677,0.65
"12222",0.639,0.68,0.561,0.552
"12223",0.472,0.479,0.323,0.363
"12231",0.554,0.424,0.434,0.428
"12232",0.458,0.357,0.318,0.33
"12233",0.291,0.157,0.08,0.141
"12311",0.728,0.743,0.679,0.615
"12312",0.632,0.677,0.562,0.518
"12313",0.464,0.476,0.325,0.329
"12321",0.64,0.631,0.576,0.517
"12322",0.544,0.564,0.46,0.42
"12323",0.377,0.364,0.222,0.231
"12331",0.459,0.308,0.333,0.295
"12332",0.363,0.242,0.217,0.197
"12333",0.196,0.042,-0.02,0.009
"13111",0.776,0.743,0.758,0.718
"13112",0.68,0.676,0.642,0.62
"13113",0.512,0.476,0.405,0.431
"13121",0.688,0.63,0.656,0.62
"13122",0.592,0.564,0.54,0.522
"13123",0.425,0.363,0.302,0.333
"13131",0.507,0.308,0.413,0.398
"13132",0.411,0.241,0.297,0.3
"13133",0.244,0.041,0.059,0.111
"13211",0.707,0.689,0.678,0.611
"13212",0.611,0.623,0.561,0.514
"13213",0.443,0.422,0.324,0.325
"13221",0.619,0.577,0.575,0.513
"13222",0.523,0.51,0.459,0.416
"13223",0.355,0.31,0.221,0.227
"13231",0.438,0.254,0.332,0.291
"13232",0.342,0.188,0.216,0.194
"13233",0.174,-0.012,-0.021,0.005
"13311",0.612,0.574,0.577,0.479
"13312",0.516,0.508,0.46,0.381
"13313",0.348,0.307,0.223,0.192
"13321",0.524,0.462,0.474,0.381
"13322",0.428,0.395,0.358,0.283
"13323",0.26,0.195,0.12,0.094
"13331",0.343,0.139,0.232,0.159
"13332",0.247,0.073,0.115,0.061
"13333",0.079,-0.128,-0.122,-0.128
"21111",0.866,0.917,0.846,0.827
"21112",0.77,0.851,0.73,0.729
"21113",0.603,0.65,0.493,0.54
"21121",0.778,0.805,0.744,0.729
"21122",0.682,0.738,0.628,0.631
"21123",0.515,0.538,0.39,0.442
"21131",0.598,0.482,0.501,0.506
"21132",0.501,0.416,0.385,0.409
"21133",0.334,0.216,0.147,0.22
"21211",0.797,0.864,0.766,0.72
"21212",0.701,0.797,0.649,0.623
"21213",0.533,0.597,0.412,0.434
"21221",0.709,0.751,0.663,0.622
"21222",0.613,0.685,0.547,0.525
"21223",0.446,0.485,0.309,0.336
"21231",0.528,0.429,0.42,0.4
"21232",0.432,0.363,0.304,0.303
"21233",0.265,0.162,0.067,0.114
"21311",0.702,0.749,0.665,0.588
"21312",0.606,0.682,0.549,0.49
"21313",0.438,0.482,0.311,0.301
"21321",0.614,0.636,0.562,0.49
"21322",0.518,0.57,0.446,0.392
"21323",0.351,0.369,0.209,0.203
"21331",0.433,0.314,0.32,0.268
"21332",0.337,0.247,0.203,0.17
"21333",0.17,0.047,-0.034,-0.019
"22111",0.793,0.853,0.786,0.718
"22112",0.697,0.786,0.669,0.621
"22113",0.53,0.586,0.432,0.432
"22121",0.705,0.74,0.683,0.62
"22122",0.609,0.674,0.567,0.523
"22123",0.442,0.473,0.329,0.334
"22131",0.525,0.418,0.441,0.398
"22132",0.428,0.351,0.324,0.301
"22133",0.261,0.151,0.087,0.112
"22211",0.724,0.799,0.705,0.612
"22212",0.628,0.733,0.589,0.514
"22213",0.46,0.532,0.351,0.326
"22221",0.636,0.687,0.602,0.514
"22222",0.54,0.62,0.486,0.417
"22223",0.373,0.42,0.249,0.228
"22231",0.455,0.364,0.36,0.292
"22232",0.359,0.298,0.243,0.194
"22233",0.192,0.098,0.006,0.005
"22311",0.629,0.684,0.604,0.479
"22312",0.533,0.618,0.488,0.382
"22313",0.365,0.417,0.25,0.193
"22321",0.541,0.572,0.502,0.382
"22322",0.445,0.505,0.385,0.284
"22323",0.278,0.305,0.148,0.095
"22331",0.36,0.249,0.259,0.159
"22332",0.264,0.183,0.143,0.062
"22333",0.097,-0.018,-0.095,-0.127
"23111",0.677,0.684,0.684,0.582
"23112",0.581,0.617,0.567,0.485
"23113",0.413,0.417,0.33,0.296
"23121",0.589,0.571,0.581,0.484
"23122",0.493,0.505,0.465,0.387
"23123",0.325,0.304,0.228,0.198
"23131",0.408,0.249,0.339,0.262
"23132",0.312,0.182,0.222,0.164
"23133",0.145,-0.018,-0.015,-0.025
"23211",0.608,0.63,0.603,0.476
"23212",0.511,0.564,0.487,0.378
"23213",0.344,0.363,0.249,0.189
"23221",0.52,0.518,0.501,0.378
"23222",0.424,0.451,0.384,0.28
"23223",0.256,0.251,0.147,0.091
"23231",0.339,0.195,0.258,0.156
"23232",0.243,0.129,0.142,0.058
"23233",0.075,-0.072,-0.096,-0.131
"23311",0.513,0.515,0.502,0.343
"23312",0.416,0.448,0.386,0.246
"23313",0.249,0.248,0.148,0.057
"23321",0.425,0.402,0.4,0.245
"23322",0.329,0.336,0.283,0.148
"23323",0.161,0.136,0.046,-0.041
"23331",0.244,0.08,0.157,0.023
"23332",0.148,0.014,0.041,-0.075
"23333",-0.02,-0.187,-0.197,-0.263
"31111",0.714,0.776,0.732,0.668
"31112",0.617,0.709,0.615,0.571
"31113",0.45,0.509,0.378,0.382
"31121",0.626,0.663,0.629,0.57
"31122",0.53,0.597,0.513,0.473
"31123",0.362,0.396,0.275,0.284
"31131",0.445,0.341,0.386,0.348
"31132",0.349,0.274,0.27,0.251
"31133",0.181,0.074,0.033,0.062
"31211",0.644,0.722,0.651,0.562
"31212",0.548,0.656,0.534,0.464
"31213",0.381,0.455,0.297,0.275
"31221",0.557,0.61,0.548,0.464
"31222",0.46,0.543,0.432,0.366
"31223",0.293,0.343,0.195,0.177
"31231",0.376,0.287,0.306,0.242
"31232",0.28,0.221,0.189,0.144
"31233",0.112,0.02,-0.048,-0.045
"31311",0.549,0.607,0.55,0.429
"31312",0.453,0.541,0.434,0.332
"31313",0.286,0.34,0.196,0.143
"31321",0.461,0.495,0.447,0.331
"31322",0.365,0.428,0.331,0.234
"31323",0.198,0.228,0.094,0.045
"31331",0.281,0.172,0.205,0.109
"31332",0.184,0.106,0.088,0.012
"31333",0.017,-0.095,-0.149,-0.177
"32111",0.641,0.711,0.671,0.56
"32112",0.544,0.645,0.555,0.463
"32113",0.377,0.444,0.317,0.274
"32121",0.553,0.599,0.568,0.462
"32122",0.457,0.532,0.452,0.365
"32123",0.289,0.332,0.215,0.176
"32131",0.372,0.276,0.326,0.24
"32132",0.276,0.21,0.209,0.143
"32133",0.108,0.009,-0.028,-0.046
"32211",0.571,0.658,0.59,0.454
"32212",0.475,0.591,0.474,0.356
"32213",0.308,0.391,0.236,0.167
"32221",0.484,0.545,0.488,0.356
"32222",0.387,0.479,0.371,0.258
"32223",0.22,0.278,0.134,0.069
"32231",0.303,0.223,0.245,0.134
"32232",0.207,0.156,0.129,0.036
"32233",0.039,-0.044,-0.109,-0.153
"32311",0.476,0.542,0.489,0.321
"32312",0.38,0.476,0.373,0.224
"32313",0.213,0.275,0.135,0.035
"32321",0.389,0.43,0.387,0.223
"32322",0.292,0.363,0.27,0.126
"32323",0.125,0.163,0.033,-0.063
"32331",0.208,0.108,0.144,0.001
"32332",0.112,0.041,0.028,-0.096
"32333",-0.056,-0.159,-0.21,-0.285
"33111",0.524,0.542,0.569,0.424
"33112",0.428,0.475,0.453,0.326
"33113",0.261,0.275,0.215,0.137
"33121",0.436,0.429,0.466,0.326
"33122",0.34,0.363,0.35,0.228
"33123",0.173,0.162,0.113,0.039
"33131",0.256,0.107,0.224,0.104
"33132",0.159,0.04,0.107,0.006
"33133",-0.008,-0.16,-0.13,-0.183
"33211",0.455,0.488,0.488,0.317
"33212",0.359,0.422,0.372,0.22
"33213",0.191,0.221,0.134,0.031
"33221",0.367,0.376,0.386,0.219
"33222",0.271,0.309,0.269,0.122
"33223",0.104,0.109,0.032,-0.067
"33231",0.186,0.053,0.143,-0.003
"33232",0.09,-0.013,0.027,-0.1
"33233",-0.077,-0.213,-0.211,-0.289
"33311",0.36,0.373,0.387,0.185
"33312",0.264,0.307,0.271,0.087
"33313",0.096,0.106,0.034,-0.102
"33321",0.272,0.261,0.285,0.087
"33322",0.176,0.194,0.169,-0.011
"33323",0.009,-0.006,-0.069,-0.2
"33331",0.091,-0.062,0.042,-0.135
"33332",-0.005,-0.128,-0.074,-0.233
"33333",-0.172,-0.329,-0.312,-0.422
