,Argentina,Australia,Bermuda,Brazil,Canada,Chile,China,Denmark,Ecuador,France,Germany,Hungary,Italy,Japan,Jordan,Netherlands,Pakistan,Poland,Portugal,Russia,Singapore,SouthKorea,Spain,SriLanka,Sweden,Taiwan,Thailand,Trinidad_and_Tobago,Tunisia,UK,USA,Zimbabwe
FullHealth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9694,1,1,1,1,1,1,1
AtLeastOne2Or3,NA,-0.105,NA,-0.149,-0.111,-0.092,-0.039,-0.114,0.03479,NA,-0.001,-0.02,NA,-0.152,NA,-0.071,NA,-0.049,NA,NA,NA,-0.05,-0.024,-0.152,NA,-0.185,-0.202,-0.093,NA,-0.081,NA,-0.1
AtLeastOne3,NA,NA,NA,NA,NA,NA,-0.022,NA,NA,-0.174,-0.323,NA,NA,NA,NA,-0.234,NA,NA,NA,NA,-0.2905,-0.05,-0.291,NA,-0.0433,-0.19,-0.139,NA,NA,-0.269,NA,NA
MO2,-0.189,-0.068,-0.061,-0.12,-0.046,-0.108,-0.099,-0.053,-0.06597,-0.155,-0.099,-0.022,-0.076,-0.075,-0.119,-0.036,-0.049,-0.052,-0.30543,-0.041,-0.1678,-0.096,-0.106,-0.166,-0.0666,-0.123,-0.121,-0.045,-0.076,-0.069,-0.146016,-0.056
MO3,-0.272,-0.374,-0.427,-0.363,-0.322,-0.448,-0.246,-0.411,-0.19813,-0.372,-0.327,-0.648,-0.518,-0.418,-0.503,-0.161,-0.279,-0.331,-0.89017,-0.458,-0.304,-0.418,-0.43,-1.071,-0.1247,-0.272,-0.432,-0.412,-0.597,-0.314,-0.557685,-0.204
SC2,-0.128,-0.087,-0.097,-0.112,-0.071,-0.118,-0.105,-0.063,-0.06964,-0.212,-0.087,-0.051,-0.1,-0.054,-0.174,-0.082,-0.057,-0.054,-0.35397,-0.075,-0.1615,-0.046,-0.134,-0.119,-0.0276,-0.167,-0.121,-0.064,-0.165,-0.104,-0.1753425,-0.092
SC3,-0.209,-0.267,-0.225,-0.218,-0.224,-0.421,-0.208,-0.192,-0.17701,-0.326,-0.174,-0.355,-0.289,-0.102,-0.29,-0.152,-0.217,-0.235,-0.79608,-0.246,-0.3465,-0.136,-0.309,-0.337,-0.0276,-0.276,-0.242,-0.172,-0.34,-0.214,-0.4711896,-0.231
UA2,-0.111,-0.053,-0.065,-0.097,-0.072,-0.126,-0.074,-0.048,-0.06251,-0.156,NA,-0.025,-0.085,-0.044,-0.09,-0.032,-0.04,-0.046,-0.29849,-0.073,-0.2555,-0.051,-0.071,-0.071,-0.1012,-0.085,-0.059,-0.043,-0.078,-0.036,-0.1397295,-0.043
UA3,-0.067,-0.139,-0.186,-0.184,-0.105,-0.411,-0.193,-0.144,-0.154,-0.189,NA,-0.246,-0.198,-0.133,-0.135,-0.057,-0.28,-0.212,-0.75906,-0.242,-0.3209,-0.208,-0.195,-0.419,-0.1355,-0.208,-0.118,-0.117,-0.251,-0.094,-0.3742594,-0.135
PD2,-0.13,-0.068,-0.126,-0.064,-0.045,-0.11,-0.092,-0.062,-0.07576,-0.112,-0.112,-0.08,-0.098,-0.08,-0.085,-0.086,-0.035,-0.057,-0.30633,-0.066,-0.1462,-0.037,-0.089,-0.057,-0.0345,-0.121,-0.072,-0.064,-0.057,-0.123,-0.1728907,-0.067
PD3,-0.209,-0.449,-0.421,-0.168,-0.298,-0.398,-0.236,-0.396,-0.21253,-0.265,-0.315,-0.338,-0.334,-0.194,-0.295,-0.329,-0.214,-0.489,-0.70274,-0.377,-0.2291,-0.151,-0.261,-0.3,-0.0904,-0.261,-0.209,-0.23,-0.276,-0.386,-0.5371011,-0.302
AD2,-0.082,-0.097,-0.11,-0.05,-0.063,-0.1,-0.086,-0.068,-0.07198,-0.09,NA,-0.078,-0.095,-0.063,-0.101,-0.124,-0.036,-0.026,-0.23328,-0.041,-0.1501,-0.043,-0.062,-0.044,-0.0552,-0.154,-0.032,-0.011,-0.095,-0.071,-0.156223,-0.046
AD3,-0.135,-0.397,-0.288,-0.095,-0.28,-0.353,-0.205,-0.367,-0.17084,-0.204,-0.065,-0.258,-0.213,-0.112,-0.34,-0.325,-0.181,-0.207,-0.63208,-0.179,-0.2784,-0.158,-0.144,-0.194,-0.2077,-0.282,-0.11,-0.139,-0.332,-0.236,-0.4501876,-0.173
D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,NA,,NA,NA,NA,0.43663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1395949,NA
I2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,-0.24028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I2square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0106868,NA
I3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1215579,NA
I3square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0.03358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0147963,NA
O2,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O3,-0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Z2,-0.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Z3,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2square,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3square,-0.005,NA,NA,NA,NA,0.027,NA,NA,-0.02427,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X5,NA,NA,NA,NA,NA,-0.049,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO2SC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO2SC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO2UA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,-0.053,NA,NA,NA,NA,NA,NA,NA,NA
MO2UA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO2PD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO2PD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO2AD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO2AD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO3SC3,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA
MO3UA3,NA,-0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0.208,NA,NA,NA,NA,NA,NA,NA,NA
MO3PD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO3PD3,NA,0.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0.181,NA,NA,NA,NA,NA,NA,NA,NA
MO3AD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO3AD3,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA,NA,NA,NA,NA,NA,NA,NA
SC2UA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC2UA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC2PD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC2PD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC2AD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC2AD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC3UA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,-0.048,NA,NA,NA,NA,NA,NA,NA,NA
SC3UA3,NA,-0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC3PD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC3PD3,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC3AD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC3AD3,NA,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA2PD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA2PD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA2AD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA2AD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA3PD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA3PD3,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA
UA3AD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA3AD3,NA,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD2AD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD2AD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD3AD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD3AD3,NA,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA